interview_ID,Q2-2024 _1,Q2-2024 _2,Q2-2024 _3,Q2-2027_1,Q2-2027_2,Q2-2027_3,Q2-2030_1,Q2-2030_2,Q2-2030_3,Q2-2040_1,Q2-2040_2,Q2-2040_3,Q2-2050 _1,Q2-2050 _2,Q2-2050 _3,Q3#1_1,Q3#1_2,Q3#2_1,Q3#2_2,Q3#3_1,Q3#3_2,Q3#4_1,Q3#4_2,Q3#5_1,Q3#5_2,Q5#1_1,Q5#1_2,Q5#1_3,Q5#2_1,Q5#2_2,Q5#2_3,Q5#3_1,Q5#3_2,Q5#3_3,Q5#4_1,Q5#4_2,Q5#4_3,Q5#5_1,Q5#5_2,Q5#5_3,Q7#1_1,Q7#1_2,Q7#1_3,Q7#2_1,Q7#2_2,Q7#2_3,Q7#3_1,Q7#3_2,Q7#3_3,Q7#4_1,Q7#4_2,Q7#4_3,Q7#5_1,Q7#5_2,Q7#5_3,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,TRL_upper,CDR_solution_recode,Additional_revenue,TRL_upper_recode,Byproducts
39,2,3,1,2,3,1,3,2,1,3,1,2,3,1,2,4,4,4,4,4,4,3,3,2,2,1,1,4,1,1,4,1,3,4,3,4,3,3,4,3,1,1,1,3,1,1,3,1,2,2,3,2,2,3,2,Yes,100,95,85,65,65,7,Enhanced weathering,Yes,Pilot plant scale,Production of metals
40,2,3,1,2,3,1,1,3,2,1,3,2,1,2,3,1,4,1,4,1,4,1,4,1,4,1,1,1,1,3,1,2,3,2,1,3,3,1,3,3,1,1,1,4,3,2,4,3,2,4,3,2,4,3,2,Yes,100,80,60,50,50,7,Land-based biomass,Yes,Pilot plant scale,Production of industrial materials
41,2,3,1,1,3,2,2,1,3,2,1,3,2,1,3,4,4,4,4,4,3,2,3,2,3,2,1,1,3,1,3,4,3,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,2,4,4,2,Yes,0,50,50,50,50,8,Land-based biomass,Yes,Full scale & Commercial,Soil enhancement
42,1,3,2,2,3,1,3,2,1,3,2,1,3,2,1,3,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,2,1,2,3,1,3,3,1,3,2,3,1,3,2,1,4,2,1,4,2,1,4,2,1,Yes,50,40,30,30,30,9,DACCS & DOCCS,Yes,Full scale & Commercial,Production of materials
43,2,3,1,2,3,1,2,1,3,2,1,3,2,1,3,1,1,2,2,2,2,3,3,3,3,1,1,1,1,1,2,1,1,2,3,1,3,4,1,4,4,4,4,4,4,4,3,3,4,2,2,3,1,1,2,No,NA,NA,NA,NA,NA,9,DACCS & DOCCS,No,Full scale & Commercial,NA
44,1,3,2,1,2,3,3,2,1,3,1,2,3,1,2,4,1,3,2,1,3,1,4,1,4,1,1,4,2,1,4,3,3,3,4,3,2,4,3,2,2,1,3,4,1,3,4,3,2,3,4,1,2,4,1,Yes,60,40,10,10,10,8,Marine biomass & Blue carbon,Yes,Full scale & Commercial,Marine products
45,2,3,1,2,3,1,2,3,1,2,1,3,2,1,3,3,1,3,1,3,2,1,4,1,4,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,3,1,4,3,2,4,2,3,4,1,4,2,1,4,1,Yes,0,45,45,45,45,7,DACCS & DOCCS,Yes,Pilot plant scale,Production of hydrogen
47,2,3,1,2,3,1,2,1,3,3,1,2,3,1,2,4,2,4,2,3,2,2,1,2,1,1,1,1,1,1,1,2,1,2,3,1,3,4,1,4,1,4,1,1,4,1,1,4,1,1,3,1,1,2,1,Yes,0,0,0,0,0,9,BECCS,Yes,Full scale & Commercial,"Generation of useable energy, Waste management"
49,3,2,1,3,2,1,3,2,1,3,1,2,3,1,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,No,NA,NA,NA,NA,NA,9,BECCS,No,Full scale & Commercial,NA
46,2,3,1,1,2,3,2,1,3,1,2,3,3,1,2,3,4,3,4,2,4,2,3,3,3,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,1,1,2,3,1,3,4,3,2,3,3,2,3,3,1,Yes,40,50,50,40,40,9,BECCS,Yes,Full scale & Commercial,Generation of useable energy
48,1,3,2,2,3,1,2,3,1,3,2,1,3,1,2,1,1,4,4,1,4,1,4,1,4,1,1,1,2,1,2,2,1,2,4,1,4,4,1,4,4,1,4,4,1,4,4,4,2,3,4,2,3,4,2,Yes,100,100,50,50,50,9,BECCS,Yes,Full scale & Commercial,Generation of useable energy
